Dataset,method,Experiment,RMSE
23_ai4i,chain03_datawig,1,0.1745 ± 0.0575
23_ai4i,chain03_datawig,2,0.1858 ± 0.0611
23_ai4i,chain03_datawig,3,0.1715 ± 0.0484
23_ai4i,chain03_datawig,4,0.1630 ± 0.0526
23_ai4i,chain03_datawig,5,0.1693 ± 0.0480
23_ai4i,chain03_datawig,6,0.1691 ± 0.0460
23_ai4i,chain03_datawig,7,0.1696 ± 0.0449
23_ai4i,chain03_datawig,8,0.1700 ± 0.0512
23_ai4i,chain03_datawig,9,0.1661 ± 0.0555
23_ai4i,chain03_datawig,10,0.1632 ± 0.0490
23_ai4i,chain03_datawig,11,0.1596 ± 0.0580
23_ai4i,chain03_datawig,12,0.1691 ± 0.0529
23_ai4i,chain03_datawig,13,0.1611 ± 0.0492
23_ai4i,chain03_datawig,14,0.1612 ± 0.0524
23_ai4i,chain03_datawig,15,0.1722 ± 0.0527
23_ai4i,chain03_datawig,16,0.1713 ± 0.0485
23_ai4i,chain03_datawig,17,0.1622 ± 0.0430
23_ai4i,chain03_datawig,18,0.1600 ± 0.0553
23_ai4i,chain03_datawig,19,0.1766 ± 0.0391
23_ai4i,chain03_datawig,20,0.1685 ± 0.0564
23_ai4i,chain03_datawig,21,0.1586 ± 0.0625
23_ai4i,chain03_datawig,22,0.1629 ± 0.0512
23_ai4i,chain03_datawig,23,0.1682 ± 0.0555
23_ai4i,chain03_datawig,24,0.1762 ± 0.0425
23_ai4i,chain03_datawig,25,0.1677 ± 0.0426
23_ai4i,chain03_datawig,26,0.1632 ± 0.0488
23_ai4i,chain03_datawig,27,0.1723 ± 0.0467
23_ai4i,chain03_datawig,28,0.1625 ± 0.0596
23_ai4i,chain03_datawig,29,0.1695 ± 0.0502
23_ai4i,chain03_datawig,30,0.1658 ± 0.0438
