Dataset,method,Experiment,RMSE
23_ai4i,up_chain03_datawig,1,0.1608 ± 0.0588
23_ai4i,up_chain03_datawig,2,0.1632 ± 0.0578
23_ai4i,up_chain03_datawig,3,0.1710 ± 0.0455
23_ai4i,up_chain03_datawig,4,0.1627 ± 0.0525
23_ai4i,up_chain03_datawig,5,0.1673 ± 0.0485
23_ai4i,up_chain03_datawig,6,0.1700 ± 0.0454
23_ai4i,up_chain03_datawig,7,0.1695 ± 0.0445
23_ai4i,up_chain03_datawig,8,0.1700 ± 0.0510
23_ai4i,up_chain03_datawig,9,0.1658 ± 0.0555
23_ai4i,up_chain03_datawig,10,0.1622 ± 0.0495
23_ai4i,up_chain03_datawig,11,0.1597 ± 0.0579
23_ai4i,up_chain03_datawig,12,0.1685 ± 0.0529
23_ai4i,up_chain03_datawig,13,0.1617 ± 0.0497
23_ai4i,up_chain03_datawig,14,0.1632 ± 0.0502
23_ai4i,up_chain03_datawig,15,0.1715 ± 0.0513
23_ai4i,up_chain03_datawig,16,0.1721 ± 0.0473
23_ai4i,up_chain03_datawig,17,0.1625 ± 0.0414
23_ai4i,up_chain03_datawig,18,0.1604 ± 0.0542
23_ai4i,up_chain03_datawig,19,0.1764 ± 0.0387
23_ai4i,up_chain03_datawig,20,0.1676 ± 0.0558
23_ai4i,up_chain03_datawig,21,0.1584 ± 0.0619
23_ai4i,up_chain03_datawig,22,0.1624 ± 0.0510
23_ai4i,up_chain03_datawig,23,0.1634 ± 0.0570
23_ai4i,up_chain03_datawig,24,0.1751 ± 0.0430
23_ai4i,up_chain03_datawig,25,0.1677 ± 0.0417
23_ai4i,up_chain03_datawig,26,0.1636 ± 0.0486
23_ai4i,up_chain03_datawig,27,0.1717 ± 0.0472
23_ai4i,up_chain03_datawig,28,0.1625 ± 0.0590
23_ai4i,up_chain03_datawig,29,0.1702 ± 0.0496
23_ai4i,up_chain03_datawig,30,0.1652 ± 0.0442
